n_obs_original,n_obs_efectivo,grupo_original,grupo_efectivo,cambia_de_grupo
700,700,500-999,500-999,False
128,128,100-249,100-249,False
206,206,100-249,100-249,False
360,360,250-499,250-499,False
270,270,250-499,250-499,False
602,602,500-999,500-999,False
78,78,<100,<100,False
672,672,500-999,500-999,False
302,302,250-499,250-499,False
168,168,100-249,100-249,False
212,212,100-249,100-249,False
765,765,500-999,500-999,False
250,250,250-499,250-499,False
393,393,250-499,250-499,False
656,656,500-999,500-999,False
343,343,250-499,250-499,False
149,149,100-249,100-249,False
313,313,250-499,250-499,False
721,721,500-999,500-999,False
35,35,<100,<100,False
491,491,250-499,250-499,False
527,527,500-999,500-999,False
617,617,500-999,500-999,False
359,359,250-499,250-499,False
171,171,100-249,100-249,False
436,436,250-499,250-499,False
262,262,250-499,250-499,False
850,850,500-999,500-999,False
389,389,250-499,250-499,False
1055,1055,>=1000,>=1000,False
308,308,250-499,250-499,False
89,89,<100,<100,False
871,871,500-999,500-999,False
629,629,500-999,500-999,False
134,134,100-249,100-249,False
718,718,500-999,500-999,False
293,293,250-499,250-499,False
338,338,250-499,250-499,False
136,136,100-249,100-249,False
616,616,500-999,500-999,False
89,89,<100,<100,False
331,331,250-499,250-499,False
1001,1001,>=1000,>=1000,False
122,122,100-249,100-249,False
154,154,100-249,100-249,False
51,51,<100,<100,False
939,939,500-999,500-999,False
506,506,500-999,500-999,False
116,116,100-249,100-249,False
674,674,500-999,500-999,False
587,587,500-999,500-999,False
410,410,250-499,250-499,False
310,310,250-499,250-499,False
205,205,100-249,100-249,False
1852,1852,>=1000,>=1000,False
1051,1051,>=1000,>=1000,False
544,544,500-999,500-999,False
603,603,500-999,500-999,False
42,42,<100,<100,False
669,669,500-999,500-999,False
693,693,500-999,500-999,False
278,278,250-499,250-499,False
683,683,500-999,500-999,False
1161,1161,>=1000,>=1000,False
974,974,500-999,500-999,False
818,818,500-999,500-999,False
879,879,500-999,500-999,False
752,752,500-999,500-999,False
259,259,250-499,250-499,False
633,633,500-999,500-999,False
720,720,500-999,500-999,False
31,31,<100,<100,False
373,373,250-499,250-499,False
809,809,500-999,500-999,False
136,136,100-249,100-249,False
426,425,250-499,250-499,False
1169,1169,>=1000,>=1000,False
694,694,500-999,500-999,False
426,426,250-499,250-499,False
316,316,250-499,250-499,False
877,877,500-999,500-999,False
744,744,500-999,500-999,False
192,192,100-249,100-249,False
420,420,250-499,250-499,False
495,495,250-499,250-499,False
285,285,250-499,250-499,False
50,50,<100,<100,False
330,330,250-499,250-499,False
373,373,250-499,250-499,False
552,552,500-999,500-999,False
254,254,250-499,250-499,False
349,349,250-499,250-499,False
38,38,<100,<100,False
156,156,100-249,100-249,False
1015,1015,>=1000,>=1000,False
882,882,500-999,500-999,False
290,290,250-499,250-499,False
208,208,100-249,100-249,False
800,800,500-999,500-999,False
363,363,250-499,250-499,False
177,177,100-249,100-249,False
532,532,500-999,500-999,False
958,957,500-999,500-999,False
715,715,500-999,500-999,False
126,126,100-249,100-249,False
318,318,250-499,250-499,False
902,902,500-999,500-999,False
2169,2169,>=1000,>=1000,False
1577,1577,>=1000,>=1000,False
243,243,100-249,100-249,False
643,643,500-999,500-999,False
1100,1100,>=1000,>=1000,False
180,180,100-249,100-249,False
175,175,100-249,100-249,False
1545,1545,>=1000,>=1000,False
413,413,250-499,250-499,False
711,711,500-999,500-999,False
202,202,100-249,100-249,False
163,163,100-249,100-249,False
409,409,250-499,250-499,False
66,65,<100,<100,False
559,559,500-999,500-999,False
1517,1517,>=1000,>=1000,False
394,394,250-499,250-499,False
201,201,100-249,100-249,False
733,733,500-999,500-999,False
584,584,500-999,500-999,False
527,527,500-999,500-999,False
91,91,<100,<100,False
1001,1001,>=1000,>=1000,False
742,742,500-999,500-999,False
350,350,250-499,250-499,False
229,229,100-249,100-249,False
547,547,500-999,500-999,False
308,308,250-499,250-499,False
1273,1273,>=1000,>=1000,False
539,539,500-999,500-999,False
815,815,500-999,500-999,False
682,682,500-999,500-999,False
272,272,250-499,250-499,False
36,36,<100,<100,False
982,982,500-999,500-999,False
473,473,250-499,250-499,False
694,694,500-999,500-999,False
470,469,250-499,250-499,False
582,582,500-999,500-999,False
415,415,250-499,250-499,False
91,91,<100,<100,False
636,636,500-999,500-999,False
143,143,100-249,100-249,False
687,687,500-999,500-999,False
125,125,100-249,100-249,False
562,562,500-999,500-999,False
371,371,250-499,250-499,False
136,136,100-249,100-249,False
643,643,500-999,500-999,False
270,270,250-499,250-499,False
17,17,<100,<100,False
70,70,<100,<100,False
729,729,500-999,500-999,False
74,74,<100,<100,False
519,519,500-999,500-999,False
188,188,100-249,100-249,False
162,162,100-249,100-249,False
760,760,500-999,500-999,False
487,487,250-499,250-499,False
1243,1243,>=1000,>=1000,False
473,473,250-499,250-499,False
940,940,500-999,500-999,False
93,93,<100,<100,False
1178,1178,>=1000,>=1000,False
346,346,250-499,250-499,False
599,599,500-999,500-999,False
293,293,250-499,250-499,False
483,483,250-499,250-499,False
644,643,500-999,500-999,False
1084,1084,>=1000,>=1000,False
361,361,250-499,250-499,False
298,298,250-499,250-499,False
802,802,500-999,500-999,False
39,39,<100,<100,False
541,541,500-999,500-999,False
482,482,250-499,250-499,False
72,72,<100,<100,False
373,373,250-499,250-499,False
255,255,250-499,250-499,False
680,680,500-999,500-999,False
761,761,500-999,500-999,False
46,46,<100,<100,False
1101,1101,>=1000,>=1000,False
396,396,250-499,250-499,False
1047,1047,>=1000,>=1000,False
459,459,250-499,250-499,False
372,372,250-499,250-499,False
653,653,500-999,500-999,False
366,366,250-499,250-499,False
1047,1047,>=1000,>=1000,False
120,120,100-249,100-249,False
371,371,250-499,250-499,False
235,235,100-249,100-249,False
217,217,100-249,100-249,False
254,254,250-499,250-499,False
1070,1070,>=1000,>=1000,False
327,327,250-499,250-499,False
232,232,100-249,100-249,False
825,825,500-999,500-999,False
335,335,250-499,250-499,False
138,138,100-249,100-249,False
455,455,250-499,250-499,False
600,600,500-999,500-999,False
681,681,500-999,500-999,False
65,65,<100,<100,False
417,417,250-499,250-499,False
268,268,250-499,250-499,False
280,280,250-499,250-499,False
142,142,100-249,100-249,False
375,375,250-499,250-499,False
782,782,500-999,500-999,False
31,31,<100,<100,False
212,212,100-249,100-249,False
80,80,<100,<100,False
140,140,100-249,100-249,False
455,455,250-499,250-499,False
415,415,250-499,250-499,False
361,361,250-499,250-499,False
197,197,100-249,100-249,False
378,378,250-499,250-499,False
254,254,250-499,250-499,False
823,823,500-999,500-999,False
637,637,500-999,500-999,False
675,675,500-999,500-999,False
650,650,500-999,500-999,False
413,413,250-499,250-499,False
195,195,100-249,100-249,False
182,182,100-249,100-249,False
568,568,500-999,500-999,False
1291,1291,>=1000,>=1000,False
884,884,500-999,500-999,False
620,620,500-999,500-999,False
1177,1177,>=1000,>=1000,False
715,715,500-999,500-999,False
361,361,250-499,250-499,False
549,549,500-999,500-999,False
141,141,100-249,100-249,False
416,416,250-499,250-499,False
426,426,250-499,250-499,False
239,239,100-249,100-249,False
313,313,250-499,250-499,False
155,155,100-249,100-249,False
1045,1045,>=1000,>=1000,False
2046,2046,>=1000,>=1000,False
1988,1988,>=1000,>=1000,False
1245,1245,>=1000,>=1000,False
214,214,100-249,100-249,False
155,155,100-249,100-249,False
1151,1151,>=1000,>=1000,False
279,279,250-499,250-499,False
80,80,<100,<100,False
981,981,500-999,500-999,False
312,312,250-499,250-499,False
689,689,500-999,500-999,False
214,214,100-249,100-249,False
1128,1128,>=1000,>=1000,False
140,140,100-249,100-249,False
456,456,250-499,250-499,False
686,686,500-999,500-999,False
698,698,500-999,500-999,False
764,764,500-999,500-999,False
94,94,<100,<100,False
271,271,250-499,250-499,False
231,231,100-249,100-249,False
1572,1572,>=1000,>=1000,False
202,202,100-249,100-249,False
944,944,500-999,500-999,False
480,480,250-499,250-499,False
224,224,100-249,100-249,False
844,844,500-999,500-999,False
396,396,250-499,250-499,False
671,671,500-999,500-999,False
498,498,250-499,250-499,False
435,435,250-499,250-499,False
608,607,500-999,500-999,False
1109,1109,>=1000,>=1000,False
50,50,<100,<100,False
138,138,100-249,100-249,False
230,230,100-249,100-249,False
1926,1926,>=1000,>=1000,False
987,987,500-999,500-999,False
212,212,100-249,100-249,False
436,436,250-499,250-499,False
476,476,250-499,250-499,False
41,41,<100,<100,False
422,422,250-499,250-499,False
627,627,500-999,500-999,False
762,762,500-999,500-999,False
705,705,500-999,500-999,False
246,246,100-249,100-249,False
1626,1626,>=1000,>=1000,False
143,143,100-249,100-249,False
267,267,250-499,250-499,False
490,490,250-499,250-499,False
74,74,<100,<100,False
407,407,250-499,250-499,False
222,222,100-249,100-249,False
754,754,500-999,500-999,False
396,396,250-499,250-499,False
646,646,500-999,500-999,False
783,783,500-999,500-999,False
897,897,500-999,500-999,False
338,338,250-499,250-499,False
31,31,<100,<100,False
760,760,500-999,500-999,False
1780,1780,>=1000,>=1000,False
74,74,<100,<100,False
602,602,500-999,500-999,False
759,759,500-999,500-999,False
646,646,500-999,500-999,False
637,637,500-999,500-999,False
648,648,500-999,500-999,False
578,578,500-999,500-999,False
218,218,100-249,100-249,False
330,330,250-499,250-499,False
265,265,250-499,250-499,False
354,354,250-499,250-499,False
187,187,100-249,100-249,False
697,697,500-999,500-999,False
206,206,100-249,100-249,False
639,639,500-999,500-999,False
226,226,100-249,100-249,False
406,406,250-499,250-499,False
1060,1060,>=1000,>=1000,False
968,968,500-999,500-999,False
48,48,<100,<100,False
666,666,500-999,500-999,False
1420,1420,>=1000,>=1000,False
678,678,500-999,500-999,False
765,765,500-999,500-999,False
368,368,250-499,250-499,False
279,279,250-499,250-499,False
1110,1110,>=1000,>=1000,False
347,347,250-499,250-499,False
345,345,250-499,250-499,False
332,332,250-499,250-499,False
49,49,<100,<100,False
225,225,100-249,100-249,False
337,337,250-499,250-499,False
387,387,250-499,250-499,False
163,163,100-249,100-249,False
271,271,250-499,250-499,False
152,152,100-249,100-249,False
563,563,500-999,500-999,False
416,416,250-499,250-499,False
387,387,250-499,250-499,False
633,633,500-999,500-999,False
188,188,100-249,100-249,False
47,47,<100,<100,False
50,50,<100,<100,False
1368,1368,>=1000,>=1000,False
601,601,500-999,500-999,False
663,663,500-999,500-999,False
78,78,<100,<100,False
220,220,100-249,100-249,False
806,806,500-999,500-999,False
84,84,<100,<100,False
623,623,500-999,500-999,False
171,171,100-249,100-249,False
1147,1147,>=1000,>=1000,False
607,607,500-999,500-999,False
361,361,250-499,250-499,False
908,908,500-999,500-999,False
553,553,500-999,500-999,False
119,119,100-249,100-249,False
74,74,<100,<100,False
1047,1047,>=1000,>=1000,False
411,411,250-499,250-499,False
122,122,100-249,100-249,False
719,719,500-999,500-999,False
255,255,250-499,250-499,False
895,895,500-999,500-999,False
370,370,250-499,250-499,False
33,33,<100,<100,False
385,385,250-499,250-499,False
958,958,500-999,500-999,False
211,211,100-249,100-249,False
418,418,250-499,250-499,False
322,322,250-499,250-499,False
321,321,250-499,250-499,False
806,805,500-999,500-999,False
471,471,250-499,250-499,False
383,383,250-499,250-499,False
42,42,<100,<100,False
1501,1501,>=1000,>=1000,False
745,745,500-999,500-999,False
254,254,250-499,250-499,False
48,48,<100,<100,False
199,199,100-249,100-249,False
288,288,250-499,250-499,False
1075,1075,>=1000,>=1000,False
1143,1143,>=1000,>=1000,False
442,442,250-499,250-499,False
1123,1123,>=1000,>=1000,False
325,325,250-499,250-499,False
617,617,500-999,500-999,False
85,85,<100,<100,False
1000,1000,>=1000,>=1000,False
1009,1009,>=1000,>=1000,False
711,711,500-999,500-999,False
1028,1028,>=1000,>=1000,False
38,38,<100,<100,False
389,389,250-499,250-499,False
1948,1948,>=1000,>=1000,False
456,456,250-499,250-499,False
865,865,500-999,500-999,False
589,589,500-999,500-999,False
2199,2199,>=1000,>=1000,False
302,302,250-499,250-499,False
351,351,250-499,250-499,False
1010,1010,>=1000,>=1000,False
679,679,500-999,500-999,False
340,340,250-499,250-499,False
501,501,500-999,500-999,False
1416,1416,>=1000,>=1000,False
1411,1411,>=1000,>=1000,False
745,745,500-999,500-999,False
481,481,250-499,250-499,False
623,623,500-999,500-999,False
1207,1207,>=1000,>=1000,False
160,160,100-249,100-249,False
476,476,250-499,250-499,False
668,668,500-999,500-999,False
703,703,500-999,500-999,False
275,275,250-499,250-499,False
173,173,100-249,100-249,False
1035,1035,>=1000,>=1000,False
53,53,<100,<100,False
97,97,<100,<100,False
358,358,250-499,250-499,False
826,826,500-999,500-999,False
1000,1000,>=1000,>=1000,False
573,573,500-999,500-999,False
372,372,250-499,250-499,False
974,974,500-999,500-999,False
1409,1409,>=1000,>=1000,False
472,472,250-499,250-499,False
2272,2272,>=1000,>=1000,False
175,175,100-249,100-249,False
274,274,250-499,250-499,False
845,845,500-999,500-999,False
598,598,500-999,500-999,False
484,484,250-499,250-499,False
655,655,500-999,500-999,False
490,490,250-499,250-499,False
89,89,<100,<100,False
432,432,250-499,250-499,False
363,363,250-499,250-499,False
560,560,500-999,500-999,False
2070,2070,>=1000,>=1000,False
222,222,100-249,100-249,False
1025,1025,>=1000,>=1000,False
1107,1107,>=1000,>=1000,False
122,122,100-249,100-249,False
1104,1104,>=1000,>=1000,False
747,747,500-999,500-999,False
391,391,250-499,250-499,False
304,304,250-499,250-499,False
554,554,500-999,500-999,False
1053,1053,>=1000,>=1000,False
313,313,250-499,250-499,False
615,615,500-999,500-999,False
240,240,100-249,100-249,False
418,418,250-499,250-499,False
79,79,<100,<100,False
289,289,250-499,250-499,False
1371,1371,>=1000,>=1000,False
78,78,<100,<100,False
340,340,250-499,250-499,False
498,498,250-499,250-499,False
254,254,250-499,250-499,False
832,832,500-999,500-999,False
249,249,100-249,100-249,False
214,214,100-249,100-249,False
219,219,100-249,100-249,False
602,602,500-999,500-999,False
348,348,250-499,250-499,False
205,205,100-249,100-249,False
1271,1271,>=1000,>=1000,False
386,386,250-499,250-499,False
930,930,500-999,500-999,False
396,396,250-499,250-499,False
757,757,500-999,500-999,False
1060,1060,>=1000,>=1000,False
461,461,250-499,250-499,False
42,42,<100,<100,False
406,406,250-499,250-499,False
404,404,250-499,250-499,False
968,968,500-999,500-999,False
519,519,500-999,500-999,False
292,292,250-499,250-499,False
702,702,500-999,500-999,False
38,38,<100,<100,False
385,385,250-499,250-499,False
425,425,250-499,250-499,False
429,429,250-499,250-499,False
497,497,250-499,250-499,False
122,122,100-249,100-249,False
212,212,100-249,100-249,False
797,797,500-999,500-999,False
1496,1496,>=1000,>=1000,False
276,276,250-499,250-499,False
36,36,<100,<100,False
306,306,250-499,250-499,False
2251,2251,>=1000,>=1000,False
291,291,250-499,250-499,False
201,201,100-249,100-249,False
192,192,100-249,100-249,False
371,371,250-499,250-499,False
962,962,500-999,500-999,False
90,90,<100,<100,False
524,524,500-999,500-999,False
589,589,500-999,500-999,False
1808,1808,>=1000,>=1000,False
257,257,250-499,250-499,False
285,285,250-499,250-499,False
471,471,250-499,250-499,False
318,318,250-499,250-499,False
301,301,250-499,250-499,False
75,75,<100,<100,False
172,172,100-249,100-249,False
938,938,500-999,500-999,False
1207,1207,>=1000,>=1000,False
519,519,500-999,500-999,False
468,468,250-499,250-499,False
417,417,250-499,250-499,False
783,783,500-999,500-999,False
72,71,<100,<100,False
1562,1562,>=1000,>=1000,False
396,396,250-499,250-499,False
156,156,100-249,100-249,False
803,803,500-999,500-999,False
481,481,250-499,250-499,False
626,626,500-999,500-999,False
171,171,100-249,100-249,False
285,285,250-499,250-499,False
320,320,250-499,250-499,False
1223,1223,>=1000,>=1000,False
762,762,500-999,500-999,False
566,566,500-999,500-999,False
387,387,250-499,250-499,False
416,416,250-499,250-499,False
449,449,250-499,250-499,False
476,476,250-499,250-499,False
1287,1287,>=1000,>=1000,False
301,301,250-499,250-499,False
151,151,100-249,100-249,False
217,217,100-249,100-249,False
1156,1156,>=1000,>=1000,False
725,725,500-999,500-999,False
693,693,500-999,500-999,False
370,370,250-499,250-499,False
231,231,100-249,100-249,False
54,54,<100,<100,False
236,236,100-249,100-249,False
789,789,500-999,500-999,False
281,281,250-499,250-499,False
307,307,250-499,250-499,False
621,621,500-999,500-999,False
766,766,500-999,500-999,False
311,311,250-499,250-499,False
175,175,100-249,100-249,False
945,945,500-999,500-999,False
339,339,250-499,250-499,False
58,58,<100,<100,False
566,566,500-999,500-999,False
806,806,500-999,500-999,False
167,167,100-249,100-249,False
982,982,500-999,500-999,False
143,143,100-249,100-249,False
619,619,500-999,500-999,False
821,821,500-999,500-999,False
325,325,250-499,250-499,False
793,793,500-999,500-999,False
793,793,500-999,500-999,False
378,378,250-499,250-499,False
266,266,250-499,250-499,False
143,143,100-249,100-249,False
399,399,250-499,250-499,False
651,651,500-999,500-999,False
330,330,250-499,250-499,False
602,602,500-999,500-999,False
368,368,250-499,250-499,False
49,49,<100,<100,False
73,73,<100,<100,False
209,209,100-249,100-249,False
1232,1232,>=1000,>=1000,False
462,462,250-499,250-499,False
283,283,250-499,250-499,False
1064,1064,>=1000,>=1000,False
338,338,250-499,250-499,False
644,644,500-999,500-999,False
388,388,250-499,250-499,False
305,305,250-499,250-499,False
291,291,250-499,250-499,False
1160,1160,>=1000,>=1000,False
230,230,100-249,100-249,False
494,494,250-499,250-499,False
614,614,500-999,500-999,False
344,344,250-499,250-499,False
730,730,500-999,500-999,False
582,582,500-999,500-999,False
491,491,250-499,250-499,False
190,190,100-249,100-249,False
678,678,500-999,500-999,False
465,465,250-499,250-499,False
319,319,250-499,250-499,False
537,537,500-999,500-999,False
298,298,250-499,250-499,False
184,184,100-249,100-249,False
159,159,100-249,100-249,False
1167,1167,>=1000,>=1000,False
1103,1103,>=1000,>=1000,False
154,154,100-249,100-249,False
416,416,250-499,250-499,False
900,900,500-999,500-999,False
149,149,100-249,100-249,False
452,452,250-499,250-499,False
199,199,100-249,100-249,False
139,139,100-249,100-249,False
721,721,500-999,500-999,False
406,406,250-499,250-499,False
620,620,500-999,500-999,False
727,727,500-999,500-999,False
280,280,250-499,250-499,False
160,160,100-249,100-249,False
442,442,250-499,250-499,False
657,657,500-999,500-999,False
462,462,250-499,250-499,False
272,272,250-499,250-499,False
466,466,250-499,250-499,False
1242,1242,>=1000,>=1000,False
112,112,100-249,100-249,False
1219,1219,>=1000,>=1000,False
212,212,100-249,100-249,False
684,684,500-999,500-999,False
691,691,500-999,500-999,False
275,275,250-499,250-499,False
530,530,500-999,500-999,False
432,432,250-499,250-499,False
115,115,100-249,100-249,False
332,332,250-499,250-499,False
42,42,<100,<100,False
254,254,250-499,250-499,False
633,633,500-999,500-999,False
322,322,250-499,250-499,False
268,268,250-499,250-499,False
446,446,250-499,250-499,False
170,170,100-249,100-249,False
1101,1101,>=1000,>=1000,False
1102,1102,>=1000,>=1000,False
613,613,500-999,500-999,False
698,698,500-999,500-999,False
78,78,<100,<100,False
543,543,500-999,500-999,False
176,176,100-249,100-249,False
588,588,500-999,500-999,False
430,430,250-499,250-499,False
273,273,250-499,250-499,False
366,366,250-499,250-499,False
570,570,500-999,500-999,False
499,499,250-499,250-499,False
141,141,100-249,100-249,False
686,686,500-999,500-999,False
801,801,500-999,500-999,False
125,125,100-249,100-249,False
189,189,100-249,100-249,False
45,45,<100,<100,False
389,389,250-499,250-499,False
228,228,100-249,100-249,False
268,268,250-499,250-499,False
454,454,250-499,250-499,False
612,612,500-999,500-999,False
983,983,500-999,500-999,False
915,915,500-999,500-999,False
278,278,250-499,250-499,False
130,130,100-249,100-249,False
581,581,500-999,500-999,False
1236,1236,>=1000,>=1000,False
938,937,500-999,500-999,False
1012,1012,>=1000,>=1000,False
1419,1419,>=1000,>=1000,False
272,272,250-499,250-499,False
303,303,250-499,250-499,False
668,668,500-999,500-999,False
722,722,500-999,500-999,False
380,380,250-499,250-499,False
216,216,100-249,100-249,False
171,171,100-249,100-249,False
790,790,500-999,500-999,False
243,243,100-249,100-249,False
467,467,250-499,250-499,False
719,719,500-999,500-999,False
1005,1005,>=1000,>=1000,False
812,812,500-999,500-999,False
738,738,500-999,500-999,False
600,600,500-999,500-999,False
571,571,500-999,500-999,False
646,646,500-999,500-999,False
361,361,250-499,250-499,False
503,503,500-999,500-999,False
724,724,500-999,500-999,False
197,197,100-249,100-249,False
822,822,500-999,500-999,False
601,601,500-999,500-999,False
1227,1227,>=1000,>=1000,False
1764,1764,>=1000,>=1000,False
1052,1052,>=1000,>=1000,False
882,882,500-999,500-999,False
303,303,250-499,250-499,False
36,36,<100,<100,False
468,468,250-499,250-499,False
718,718,500-999,500-999,False
489,489,250-499,250-499,False
47,47,<100,<100,False
154,154,100-249,100-249,False
592,592,500-999,500-999,False
1322,1322,>=1000,>=1000,False
146,146,100-249,100-249,False
390,390,250-499,250-499,False
150,150,100-249,100-249,False
542,542,500-999,500-999,False
97,97,<100,<100,False
85,85,<100,<100,False
653,653,500-999,500-999,False
550,550,500-999,500-999,False
266,266,250-499,250-499,False
583,583,500-999,500-999,False
420,420,250-499,250-499,False
242,242,100-249,100-249,False
496,496,250-499,250-499,False
929,929,500-999,500-999,False
2293,2293,>=1000,>=1000,False
521,521,500-999,500-999,False
1006,1006,>=1000,>=1000,False
458,458,250-499,250-499,False
631,631,500-999,500-999,False
166,166,100-249,100-249,False
268,268,250-499,250-499,False
303,303,250-499,250-499,False
322,322,250-499,250-499,False
35,35,<100,<100,False
182,182,100-249,100-249,False
676,676,500-999,500-999,False
796,796,500-999,500-999,False
520,520,500-999,500-999,False
737,737,500-999,500-999,False
388,388,250-499,250-499,False
283,283,250-499,250-499,False
46,46,<100,<100,False
254,254,250-499,250-499,False
1061,1061,>=1000,>=1000,False
463,463,250-499,250-499,False
173,173,100-249,100-249,False
38,38,<100,<100,False
376,376,250-499,250-499,False
525,525,500-999,500-999,False
460,460,250-499,250-499,False
598,598,500-999,500-999,False
538,538,500-999,500-999,False
395,395,250-499,250-499,False
678,678,500-999,500-999,False
1169,1169,>=1000,>=1000,False
1780,1780,>=1000,>=1000,False
226,226,100-249,100-249,False
1293,1293,>=1000,>=1000,False
305,305,250-499,250-499,False
91,91,<100,<100,False
332,332,250-499,250-499,False
591,591,500-999,500-999,False
122,122,100-249,100-249,False
46,46,<100,<100,False
1210,1210,>=1000,>=1000,False
506,506,500-999,500-999,False
295,295,250-499,250-499,False
786,786,500-999,500-999,False
201,201,100-249,100-249,False
44,43,<100,<100,False
346,346,250-499,250-499,False
41,41,<100,<100,False
69,69,<100,<100,False
686,686,500-999,500-999,False
306,306,250-499,250-499,False
462,462,250-499,250-499,False
196,196,100-249,100-249,False
215,215,100-249,100-249,False
382,382,250-499,250-499,False
574,574,500-999,500-999,False
491,491,250-499,250-499,False
49,49,<100,<100,False
935,935,500-999,500-999,False
162,162,100-249,100-249,False
378,378,250-499,250-499,False
604,604,500-999,500-999,False
643,643,500-999,500-999,False
42,42,<100,<100,False
175,175,100-249,100-249,False
217,217,100-249,100-249,False
685,685,500-999,500-999,False
69,69,<100,<100,False
673,673,500-999,500-999,False
302,302,250-499,250-499,False
540,540,500-999,500-999,False
391,391,250-499,250-499,False
296,296,250-499,250-499,False
415,415,250-499,250-499,False
399,399,250-499,250-499,False
313,313,250-499,250-499,False
1766,1766,>=1000,>=1000,False
325,325,250-499,250-499,False
400,400,250-499,250-499,False
562,562,500-999,500-999,False
634,634,500-999,500-999,False
721,721,500-999,500-999,False
514,514,500-999,500-999,False
556,556,500-999,500-999,False
251,251,250-499,250-499,False
1352,1352,>=1000,>=1000,False
370,370,250-499,250-499,False
433,433,250-499,250-499,False
331,331,250-499,250-499,False
372,372,250-499,250-499,False
53,53,<100,<100,False
304,304,250-499,250-499,False
295,295,250-499,250-499,False
873,873,500-999,500-999,False
1004,1004,>=1000,>=1000,False
627,627,500-999,500-999,False
734,734,500-999,500-999,False
1163,1163,>=1000,>=1000,False
193,193,100-249,100-249,False
272,272,250-499,250-499,False
1055,1055,>=1000,>=1000,False
770,770,500-999,500-999,False
399,399,250-499,250-499,False
1769,1769,>=1000,>=1000,False
215,215,100-249,100-249,False
290,290,250-499,250-499,False
889,889,500-999,500-999,False
513,513,500-999,500-999,False
354,354,250-499,250-499,False
364,364,250-499,250-499,False
367,367,250-499,250-499,False
1031,1031,>=1000,>=1000,False
1150,1150,>=1000,>=1000,False
345,345,250-499,250-499,False
635,635,500-999,500-999,False
181,181,100-249,100-249,False
412,412,250-499,250-499,False
995,995,500-999,500-999,False
299,299,250-499,250-499,False
274,273,250-499,250-499,False
53,53,<100,<100,False
432,432,250-499,250-499,False
36,36,<100,<100,False
56,56,<100,<100,False
183,183,100-249,100-249,False
390,390,250-499,250-499,False
300,300,250-499,250-499,False
1060,1060,>=1000,>=1000,False
556,556,500-999,500-999,False
680,680,500-999,500-999,False
210,210,100-249,100-249,False
51,51,<100,<100,False
498,498,250-499,250-499,False
436,436,250-499,250-499,False
616,615,500-999,500-999,False
2081,2081,>=1000,>=1000,False
425,425,250-499,250-499,False
550,550,500-999,500-999,False
336,336,250-499,250-499,False
964,964,500-999,500-999,False
460,460,250-499,250-499,False
326,326,250-499,250-499,False
1334,1334,>=1000,>=1000,False
176,176,100-249,100-249,False
812,812,500-999,500-999,False
462,462,250-499,250-499,False
415,415,250-499,250-499,False
1081,1081,>=1000,>=1000,False
249,249,100-249,100-249,False
591,591,500-999,500-999,False
53,53,<100,<100,False
215,215,100-249,100-249,False
263,263,250-499,250-499,False
135,135,100-249,100-249,False
229,229,100-249,100-249,False
542,542,500-999,500-999,False
167,167,100-249,100-249,False
537,537,500-999,500-999,False
1176,1176,>=1000,>=1000,False
855,855,500-999,500-999,False
487,487,250-499,250-499,False
360,360,250-499,250-499,False
120,120,100-249,100-249,False
766,766,500-999,500-999,False
523,523,500-999,500-999,False
213,213,100-249,100-249,False
190,190,100-249,100-249,False
481,481,250-499,250-499,False
217,217,100-249,100-249,False
1977,1977,>=1000,>=1000,False
1333,1333,>=1000,>=1000,False
371,371,250-499,250-499,False
492,492,250-499,250-499,False
1060,1060,>=1000,>=1000,False
170,170,100-249,100-249,False
1216,1216,>=1000,>=1000,False
289,289,250-499,250-499,False
161,161,100-249,100-249,False
283,283,250-499,250-499,False
72,72,<100,<100,False
395,395,250-499,250-499,False
476,476,250-499,250-499,False
253,253,250-499,250-499,False
399,399,250-499,250-499,False
709,709,500-999,500-999,False
216,216,100-249,100-249,False
549,549,500-999,500-999,False
501,501,500-999,500-999,False
2049,2049,>=1000,>=1000,False
398,398,250-499,250-499,False
316,316,250-499,250-499,False
512,512,500-999,500-999,False
579,579,500-999,500-999,False
576,576,500-999,500-999,False
609,609,500-999,500-999,False
39,39,<100,<100,False
856,856,500-999,500-999,False
1151,1151,>=1000,>=1000,False
312,312,250-499,250-499,False
434,434,250-499,250-499,False
360,360,250-499,250-499,False
1541,1541,>=1000,>=1000,False
332,332,250-499,250-499,False
687,687,500-999,500-999,False
326,326,250-499,250-499,False
835,835,500-999,500-999,False
286,286,250-499,250-499,False
364,364,250-499,250-499,False
618,618,500-999,500-999,False
450,450,250-499,250-499,False
81,81,<100,<100,False
695,695,500-999,500-999,False
953,953,500-999,500-999,False
385,385,250-499,250-499,False
329,329,250-499,250-499,False
629,629,500-999,500-999,False
294,294,250-499,250-499,False
285,285,250-499,250-499,False
1032,1032,>=1000,>=1000,False
692,692,500-999,500-999,False
1186,1186,>=1000,>=1000,False
458,458,250-499,250-499,False
391,391,250-499,250-499,False
541,541,500-999,500-999,False
1054,1054,>=1000,>=1000,False
1074,1074,>=1000,>=1000,False
402,402,250-499,250-499,False
829,829,500-999,500-999,False
173,173,100-249,100-249,False
1165,1165,>=1000,>=1000,False
63,63,<100,<100,False
793,793,500-999,500-999,False
384,384,250-499,250-499,False
84,84,<100,<100,False
402,402,250-499,250-499,False
